sample dE_type dT_topo dT_MP dT_problin
3432_NT_T1 umap 0.07401333272437416 0.07679716559253258 0.36125458872296257
3432_NT_T1 scVI 0.05878493882150648 0.08077888149232582 0.34989344878309403
3432_NT_T1 pca 0.06648147244036817 0.08468142478824348 0.3792992927805523
3435_NT_T4 umap 0.15845839187369926 0.23193799174296537 0.4095633848783633
3435_NT_T4 scVI 0.06483783022561784 0.10264540972094682 0.19511116512742355
3435_NT_T4 pca 0.06622586655694196 0.11347953580177972 0.25242305341950555
3520_NT_T1 umap 0.01921722911514312 0.04332233856809875 0.31827433974552033
3520_NT_T1 scVI 0.018991945095029994 0.027013640478505963 0.2880144854553768
3520_NT_T1 pca 0.04003901535695853 0.045579977099553304 0.4864535519499462
3703_NT_T1 umap 0.19764737562701828 0.6160576600005943 1.081868955358022
3703_NT_T1 scVI 0.09626958809302266 0.2584498040357759 0.43164796199334354
3703_NT_T1 pca 0.09809039131139441 0.21211132133817356 0.41260214027062947
3703_NT_T2 umap 0.027665109297738688 0.12183588713944538 0.4864057234318784
3703_NT_T2 scVI 0.012071557509214514 0.06980918978671191 0.23541242249442185
3703_NT_T2 pca 0.012149101212042268 0.11598583833365339 0.3017958140232029
3703_NT_T3 umap 0.3587088019943123 1.0832938998513266 1.255348835337882
3703_NT_T3 scVI 0.26176133738749163 0.5335720357335405 0.7732880652289693
3703_NT_T3 pca 0.10399627208092443 0.21907997085154785 0.2640753705608079
